rec_id,sub_id,filename,eye1_x,eye1_y,eye2_x,eye2_y,nose_x,nose_y,mouth_x,mouth_y
nd1R53377,nd1S02463,nd1/Fall2003/02463d470.jpg,627.0,470.0,908.0,460.0,764.0,560.0,784.0,730.0
nd1R53378,nd1S02463,nd1/Fall2003/02463d471.jpg,670.0,451.0,951.0,450.0,811.0,550.0,814.0,714.0
nd1R53379,nd1S02463,nd1/Fall2003/02463d472.jpg,623.0,465.0,911.0,462.0,765.0,552.0,773.0,738.0
nd1R53380,nd1S02463,nd1/Fall2003/02463d473.jpg,639.0,448.0,925.0,443.0,797.0,547.0,799.0,716.0
nd1R54595,nd1S02463,nd1/Fall2003/02463d476.jpg,698.0,940.0,970.0,950.0,833.0,1058.0,831.0,1192.0
nd1R54596,nd1S02463,nd1/Fall2003/02463d477.jpg,698.0,929.0,974.0,932.0,835.0,1043.0,841.0,1189.0
nd1R54597,nd1S02463,nd1/Fall2003/02463d478.jpg,699.0,936.0,973.0,941.0,826.0,1046.0,829.0,1185.0
nd1R54598,nd1S02463,nd1/Fall2003/02463d479.jpg,715.0,945.0,985.0,952.0,851.0,1069.0,849.0,1212.0
nd1R55516,nd1S02463,nd1/Fall2003/02463d482.jpg,603.0,536.0,890.0,544.0,760.0,629.0,752.0,799.0
nd1R55517,nd1S02463,nd1/Fall2003/02463d483.jpg,596.0,523.0,882.0,537.0,756.0,618.0,751.0,797.0
nd1R55518,nd1S02463,nd1/Fall2003/02463d484.jpg,618.0,529.0,902.0,540.0,770.0,610.0,761.0,792.0
nd1R55519,nd1S02463,nd1/Fall2003/02463d485.jpg,646.0,536.0,930.0,548.0,796.0,628.0,793.0,804.0
nd1R58507,nd1S02463,nd1/Fall2003/02463d494.jpg,722.0,706.0,1004.0,713.0,856.0,830.0,858.0,967.0
nd1R58508,nd1S02463,nd1/Fall2003/02463d495.jpg,735.0,691.0,1017.0,702.0,890.0,821.0,889.0,944.0
nd1R58509,nd1S02463,nd1/Fall2003/02463d496.jpg,713.0,705.0,999.0,706.0,870.0,823.0,863.0,959.0
nd1R58510,nd1S02463,nd1/Fall2003/02463d497.jpg,724.0,695.0,1008.0,701.0,879.0,828.0,879.0,980.0
nd1R59380,nd1S02463,nd1/Fall2003/02463d500.jpg,810.0,488.0,1104.0,497.0,961.0,614.0,958.0,762.0
nd1R59381,nd1S02463,nd1/Fall2003/02463d501.jpg,797.0,454.0,1097.0,462.0,958.0,606.0,948.0,739.0
nd1R59382,nd1S02463,nd1/Fall2003/02463d502.jpg,815.0,480.0,1111.0,486.0,963.0,600.0,960.0,749.0
nd1R59383,nd1S02463,nd1/Fall2003/02463d503.jpg,829.0,466.0,1125.0,472.0,979.0,595.0,978.0,750.0
nd1R61007,nd1S02463,nd1/Fall2003/02463d508.jpg,834.0,597.0,1137.0,610.0,989.0,689.0,985.0,867.0
nd1R61008,nd1S02463,nd1/Fall2003/02463d509.jpg,810.0,605.0,1105.0,616.0,966.0,715.0,958.0,886.0
nd1R61006,nd1S02463,nd1/Fall2003/02463d507.jpg,805.0,597.0,1107.0,606.0,961.0,693.0,961.0,885.0
nd1R61005,nd1S02463,nd1/Fall2003/02463d506.jpg,786.0,587.0,1088.0,596.0,943.0,670.0,939.0,854.0
nd1R62438,nd1S02463,nd1/Fall2003/02463d513.jpg,684.0,549.0,985.0,545.0,838.0,654.0,842.0,821.0
nd1R62437,nd1S02463,nd1/Fall2003/02463d512.jpg,590.0,581.0,887.0,582.0,741.0,706.0,744.0,858.0
nd1R62440,nd1S02463,nd1/Fall2003/02463d515.jpg,686.0,552.0,980.0,555.0,843.0,661.0,850.0,834.0
nd1R62439,nd1S02463,nd1/Fall2003/02463d514.jpg,674.0,552.0,970.0,549.0,826.0,653.0,831.0,818.0
nd1R63931,nd1S02463,nd1/Fall2003/02463d520.jpg,773.0,449.0,1071.0,453.0,922.0,547.0,921.0,728.0
nd1R63932,nd1S02463,nd1/Fall2003/02463d521.jpg,806.0,449.0,1110.0,453.0,968.0,577.0,961.0,721.0
nd1R63929,nd1S02463,nd1/Fall2003/02463d518.jpg,816.0,425.0,1114.0,436.0,980.0,518.0,977.0,706.0
nd1R63930,nd1S02463,nd1/Fall2003/02463d519.jpg,810.0,445.0,1105.0,451.0,969.0,549.0,971.0,724.0
nd1R65258,nd1S02463,nd1/Fall2003/02463d524.jpg,749.0,1092.0,1042.0,1105.0,887.0,1213.0,874.0,1374.0
nd1R65259,nd1S02463,nd1/Fall2003/02463d525.jpg,749.0,1103.0,1043.0,1113.0,898.0,1225.0,896.0,1377.0
nd1R65261,nd1S02463,nd1/Fall2003/02463d527.jpg,763.0,1085.0,1057.0,1101.0,908.0,1192.0,904.0,1345.0
nd1R65260,nd1S02463,nd1/Fall2003/02463d526.jpg,744.0,1086.0,1038.0,1098.0,881.0,1172.0,875.0,1360.0
nd1R75184,nd1S02463,nd1/Spring2004/02463d567.jpg,706.0,1053.0,990.0,1061.0,851.0,1158.0,859.0,1323.0
nd1R75183,nd1S02463,nd1/Spring2004/02463d566.jpg,691.0,1039.0,977.0,1050.0,831.0,1146.0,834.0,1320.0
nd1R75181,nd1S02463,nd1/Spring2004/02463d564.jpg,676.0,1018.0,956.0,1025.0,817.0,1123.0,817.0,1292.0
nd1R75182,nd1S02463,nd1/Spring2004/02463d565.jpg,703.0,1050.0,985.0,1063.0,848.0,1158.0,852.0,1328.0
nd1R75717,nd1S02463,nd1/Spring2004/02463d572.jpg,804.0,688.0,1106.0,695.0,946.0,801.0,953.0,973.0
nd1R75718,nd1S02463,nd1/Spring2004/02463d573.jpg,846.0,667.0,1147.0,677.0,999.0,785.0,1004.0,940.0
nd1R75716,nd1S02463,nd1/Spring2004/02463d571.jpg,814.0,676.0,1122.0,686.0,969.0,798.0,972.0,970.0
nd1R75715,nd1S02463,nd1/Spring2004/02463d570.jpg,849.0,687.0,1149.0,704.0,998.0,810.0,992.0,975.0
nd1R77111,nd1S02463,nd1/Spring2004/02463d579.jpg,834.0,512.0,1134.0,518.0,1002.0,624.0,1002.0,797.0
nd1R77110,nd1S02463,nd1/Spring2004/02463d578.jpg,834.0,532.0,1134.0,536.0,981.0,646.0,986.0,820.0
nd1R77108,nd1S02463,nd1/Spring2004/02463d576.jpg,825.0,556.0,1118.0,561.0,967.0,665.0,983.0,829.0
nd1R77109,nd1S02463,nd1/Spring2004/02463d577.jpg,858.0,534.0,1159.0,538.0,1008.0,651.0,1018.0,825.0
nd1R78469,nd1S02463,nd1/Spring2004/02463d584.jpg,634.0,434.0,935.0,443.0,793.0,543.0,794.0,724.0
nd1R78470,nd1S02463,nd1/Spring2004/02463d585.jpg,622.0,442.0,924.0,448.0,784.0,554.0,785.0,718.0
nd1R78468,nd1S02463,nd1/Spring2004/02463d583.jpg,656.0,434.0,955.0,442.0,823.0,543.0,826.0,703.0
nd1R78467,nd1S02463,nd1/Spring2004/02463d582.jpg,627.0,458.0,924.0,462.0,786.0,563.0,788.0,742.0
nd1R80073,nd1S02463,nd1/Spring2004/02463d591.jpg,843.0,424.0,1152.0,419.0,1012.0,537.0,1012.0,687.0
nd1R80072,nd1S02463,nd1/Spring2004/02463d590.jpg,876.0,405.0,1184.0,405.0,1041.0,502.0,1034.0,659.0
nd1R80071,nd1S02463,nd1/Spring2004/02463d589.jpg,857.0,400.0,1166.0,391.0,1030.0,506.0,1032.0,647.0
nd1R80070,nd1S02463,nd1/Spring2004/02463d588.jpg,872.0,408.0,1174.0,401.0,1036.0,514.0,1028.0,700.0
nd1R81271,nd1S02463,nd1/Spring2004/02463d596.jpg,777.0,650.0,1076.0,646.0,932.0,751.0,941.0,924.0
nd1R81270,nd1S02463,nd1/Spring2004/02463d595.jpg,827.0,664.0,1121.0,658.0,986.0,766.0,994.0,937.0
nd1R81272,nd1S02463,nd1/Spring2004/02463d597.jpg,788.0,638.0,1089.0,638.0,944.0,747.0,963.0,911.0
nd1R81269,nd1S02463,nd1/Spring2004/02463d594.jpg,755.0,654.0,1053.0,657.0,910.0,755.0,909.0,946.0
