rec_id,sub_id,filename,eye1_x,eye1_y,eye2_x,eye2_y,nose_x,nose_y,mouth_x,mouth_y
nd1R03457,nd1S02463,nd1/Fall2002/2002-240/02463d170.JPG,595.0,610.0,815.0,609.0,722.0,684.0,716.0,815.0
nd1R03458,nd1S02463,nd1/Fall2002/2002-240/02463d171.JPG,595.0,606.0,815.0,608.0,719.0,689.0,711.0,820.0
nd1R03461,nd1S02463,nd1/Fall2002/2002-240/02463d174.JPG,692.0,438.0,812.0,437.0,754.0,498.0,757.0,556.0
nd1R03462,nd1S02463,nd1/Fall2002/2002-240/02463d175.JPG,700.0,440.0,817.0,441.0,761.0,504.0,757.0,561.0
nd1R04254,nd1S02463,nd1/Fall2002/2002-253/02463d184.JPG,495.0,425.0,718.0,420.0,618.0,502.0,624.0,631.0
nd1R04255,nd1S02463,nd1/Fall2002/2002-253/02463d185.JPG,509.0,433.0,735.0,430.0,641.0,519.0,639.0,644.0
nd1R04256,nd1S02463,nd1/Fall2002/2002-253/02463d186.JPG,721.0,344.0,834.0,347.0,778.0,394.0,776.0,455.0
nd1R04257,nd1S02463,nd1/Fall2002/2002-253/02463d187.JPG,759.0,347.0,874.0,352.0,822.0,398.0,816.0,462.0
nd1R05441,nd1S02463,nd1/Fall2002/2002-267/02463d194.JPG,546.0,603.0,767.0,599.0,678.0,677.0,675.0,805.0
nd1R05442,nd1S02463,nd1/Fall2002/2002-267/02463d195.JPG,545.0,595.0,767.0,594.0,680.0,680.0,678.0,784.0
nd1R05445,nd1S02463,nd1/Fall2002/2002-267/02463d198.JPG,727.0,565.0,827.0,566.0,778.0,613.0,777.0,671.0
nd1R05446,nd1S02463,nd1/Fall2002/2002-267/02463d199.JPG,747.0,568.0,848.0,571.0,797.0,621.0,798.0,673.0
nd1R08230,nd1S02463,nd1/Fall2002/2002-288/02463d214.JPG,475.0,563.0,690.0,568.0,590.0,636.0,592.0,778.0
nd1R08231,nd1S02463,nd1/Fall2002/2002-288/02463d215.JPG,492.0,551.0,709.0,558.0,609.0,646.0,606.0,752.0
nd1R08232,nd1S02463,nd1/Fall2002/2002-288/02463d216.JPG,819.0,179.0,921.0,185.0,861.0,223.0,864.0,287.0
nd1R08233,nd1S02463,nd1/Fall2002/2002-288/02463d217.JPG,828.0,181.0,930.0,189.0,876.0,221.0,874.0,284.0
nd1R10586,nd1S02463,nd1/Fall2002/2002-309/02463d224.JPG,620.0,468.0,808.0,468.0,720.0,533.0,727.0,635.0
nd1R10587,nd1S02463,nd1/Fall2002/2002-309/02463d225.JPG,624.0,449.0,813.0,449.0,726.0,512.0,727.0,609.0
nd1R10590,nd1S02463,nd1/Fall2002/2002-309/02463d228.JPG,651.0,530.0,764.0,527.0,712.0,579.0,713.0,640.0
nd1R10591,nd1S02463,nd1/Fall2002/2002-309/02463d229.JPG,644.0,525.0,755.0,522.0,701.0,572.0,704.0,629.0
nd1R13148,nd1S02463,nd1/Fall2002/2002-323/02463d238.JPG,690.0,598.0,1013.0,591.0,865.0,735.0,868.0,904.0
nd1R13149,nd1S02463,nd1/Fall2002/2002-323/02463d239.JPG,714.0,597.0,1037.0,595.0,893.0,744.0,888.0,910.0
nd1R13150,nd1S02463,nd1/Fall2002/2002-323/02463d240.JPG,661.0,402.0,763.0,401.0,708.0,446.0,712.0,502.0
